,調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane
364,2015100000,2015年度,20210,長野県 駒ヶ根市,,"32,759",,242.0,272.0,False,False,True,False
600,2015100000,2015年度,33209,岡山県 高梁市,,"32,075",,783.4,272.0,False,True,False,False
692,2015100000,2015年度,40221,福岡県 太宰府市,,"72,168",,1082.2,272.0,False,False,False,True
704,2015100000,2015年度,41203,佐賀県 鳥栖市,,"72,902",,1094.6,272.0,False,True,False,True
739,2015100000,2015年度,44201,大分県 大分市,,"478,146",,1002.0,272.0,False,False,True,True
712,2015100000,2015年度,42201,長崎県 長崎市,,"429,508",,1204.7,271.0,False,False,True,True
758,2015100000,2015年度,45206,宮崎県 日向市,,"61,761",,1113.1,271.0,True,False,False,True
376,2015100000,2015年度,21203,岐阜県 高山市,,"89,182",,482.5,270.0,True,True,False,False
556,2015100000,2015年度,28226,兵庫県 淡路市,,"43,977",,651.8,270.0,False,True,True,False
689,2015100000,2015年度,40218,福岡県 春日市,,"110,743",,1074.4,270.0,False,False,True,True
700,2015100000,2015年度,40230,福岡県 糸島市,,"96,475",,1088.1,270.0,False,False,False,True
638,2015100000,2015年度,36204,徳島県 阿南市,,"73,019",,763.4,269.0,False,False,True,True
654,2015100000,2015年度,38204,愛媛県 八幡浜市,,"34,951",,948.8,269.0,True,False,True,True
667,2015100000,2015年度,39206,高知県 須崎市,,"22,606",,907.7,269.0,True,False,True,True
688,2015100000,2015年度,40217,福岡県 筑紫野市,,"101,081",,1086.1,269.0,False,False,False,True
698,2015100000,2015年度,40228,福岡県 朝倉市,,"52,444",,1106.5,269.0,False,False,True,True
646,2015100000,2015年度,37204,香川県 善通寺市,,"32,927",,763.4,268.0,False,False,True,True
84,2015100000,2015年度,5214,秋田県 にかほ市,,"25,324",,574.6,267.0,False,False,True,True
573,2015100000,2015年度,30202,和歌山県 海南市,,"51,860",,641.4,267.0,True,True,False,False
580,2015100000,2015年度,30209,和歌山県 岩出市,,"53,452",,642.9,267.0,True,True,False,False
0,2015100000,2015年度,1100,北海道 札幌市,,"1,952,356",,963.4,266.0,False,False,True,True
526,2015100000,2015年度,27228,大阪府 泉南市,,"62,438",,613.6,266.0,True,True,False,False
587,2015100000,2015年度,32203,島根県 出雲市,,"171,938",,852.5,266.0,True,False,True,True
624,2015100000,2015年度,35203,山口県 山口市,,"197,422",,991.6,266.0,False,False,True,True
339,2015100000,2015年度,18208,福井県 あわら市,,"28,729",,568.7,265.0,True,True,True,False
740,2015100000,2015年度,44202,大分県 別府市,,"122,138",,988.4,265.0,False,False,True,True
701,2015100000,2015年度,40231,福岡県 那珂川市,,"50,004",,1077.5,264.0,True,False,True,True
102,2015100000,2015年度,7204,福島県 いわき市,,"350,237",,239.3,263.0,True,False,False,False
639,2015100000,2015年度,36205,徳島県 吉野川市,,"41,466",,758.6,263.0,False,False,True,True
514,2015100000,2015年度,27216,大阪府 河内長野市,,"106,987",,593.3,262.0,False,True,True,False
