"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
調査年 コード,調査年,"地域 コード","地域",/項目,"A1101_総人口【人】","注釈"
"2015100000","2015年度","14201","神奈川県 横須賀市","","406,586",""
"2015100000","2015年度","14203","神奈川県 平塚市","","258,227",""
"2015100000","2015年度","14204","神奈川県 鎌倉市","","173,019",""
"2015100000","2015年度","14205","神奈川県 藤沢市","","423,894",""
"2015100000","2015年度","14206","神奈川県 小田原市","","194,086",""
"2015100000","2015年度","14207","神奈川県 茅ヶ崎市","","239,348",""
"2015100000","2015年度","14208","神奈川県 逗子市","","57,425",""
"2015100000","2015年度","14210","神奈川県 三浦市","","45,289",""
"2015100000","2015年度","14211","神奈川県 秦野市","","167,378",""
"2015100000","2015年度","14212","神奈川県 厚木市","","225,714",""
"2015100000","2015年度","14213","神奈川県 大和市","","232,922",""
"2015100000","2015年度","14214","神奈川県 伊勢原市","","101,514",""
"2015100000","2015年度","14215","神奈川県 海老名市","","130,190",""
"2015100000","2015年度","14216","神奈川県 座間市","","128,737",""
"2015100000","2015年度","14217","神奈川県 南足柄市","","43,306",""
"2015100000","2015年度","14218","神奈川県 綾瀬市","","84,460",""
"2015100000","2015年度","15100","新潟県 新潟市","","810,157",""
"2015100000","2015年度","15202","新潟県 長岡市","","275,133",""
"2015100000","2015年度","15204","新潟県 三条市","","99,192",""
"2015100000","2015年度","15205","新潟県 柏崎市","","86,833",""
"2015100000","2015年度","15206","新潟県 新発田市","","98,611",""
"2015100000","2015年度","15208","新潟県 小千谷市","","36,498",""
"2015100000","2015年度","15209","新潟県 加茂市","","27,852",""
"2015100000","2015年度","15210","新潟県 十日町市","","54,917",""
"2015100000","2015年度","15211","新潟県 見附市","","40,608",""
"2015100000","2015年度","15212","新潟県 村上市","","62,442",""
"2015100000","2015年度","15213","新潟県 燕市","","79,784",""
"2015100000","2015年度","15216","新潟県 糸魚川市","","44,162",""
"2015100000","2015年度","15217","新潟県 妙高市","","33,199",""
"2015100000","2015年度","15218","新潟県 五泉市","","51,404",""
"2015100000","2015年度","15222","新潟県 上越市","","196,987",""
"2015100000","2015年度","15223","新潟県 阿賀野市","","43,415",""
"2015100000","2015年度","15224","新潟県 佐渡市","","57,255",""
"2015100000","2015年度","15225","新潟県 魚沼市","","37,352",""
"2015100000","2015年度","15226","新潟県 南魚沼市","","58,568",""
"2015100000","2015年度","15227","新潟県 胎内市","","30,198",""
"2015100000","2015年度","16201","富山県 富山市","","418,686",""
"2015100000","2015年度","16202","富山県 高岡市","","172,125",""
"2015100000","2015年度","16204","富山県 魚津市","","42,935",""
"2015100000","2015年度","16205","富山県 氷見市","","47,992",""
"2015100000","2015年度","16206","富山県 滑川市","","32,755",""
"2015100000","2015年度","16207","富山県 黒部市","","40,991",""
"2015100000","2015年度","16208","富山県 砺波市","","49,000",""
"2015100000","2015年度","16209","富山県 小矢部市","","30,399",""
"2015100000","2015年度","16210","富山県 南砺市","","51,327",""
"2015100000","2015年度","16211","富山県 射水市","","92,308",""
"2015100000","2015年度","17201","石川県 金沢市","","465,699",""
"2015100000","2015年度","17202","石川県 七尾市","","55,325",""
"2015100000","2015年度","17203","石川県 小松市","","106,919",""
"2015100000","2015年度","17204","石川県 輪島市","","27,216",""
"2015100000","2015年度","17205","石川県 珠洲市","","14,625",""
"2015100000","2015年度","17206","石川県 加賀市","","67,186",""
"2015100000","2015年度","17207","石川県 羽咋市","","21,729",""
"2015100000","2015年度","17209","石川県 かほく市","","34,219",""
"2015100000","2015年度","17210","石川県 白山市","","109,287",""
"2015100000","2015年度","17211","石川県 能美市","","48,881",""
"2015100000","2015年度","17212","石川県 野々市市","","55,099",""
"2015100000","2015年度","18201","福井県 福井市","","265,904",""
"2015100000","2015年度","18202","福井県 敦賀市","","66,165",""
"2015100000","2015年度","18204","福井県 小浜市","","29,670",""
"2015100000","2015年度","18205","福井県 大野市","","33,109",""
"2015100000","2015年度","18206","福井県 勝山市","","24,125",""
"2015100000","2015年度","18207","福井県 鯖江市","","68,284",""
"2015100000","2015年度","18208","福井県 あわら市","","28,729",""
"2015100000","2015年度","18209","福井県 越前市","","81,524",""
"2015100000","2015年度","18210","福井県 坂井市","","90,280",""
"2015100000","2015年度","19201","山梨県 甲府市","","193,125",""
"2015100000","2015年度","19202","山梨県 富士吉田市","","49,003",""
"2015100000","2015年度","19204","山梨県 都留市","","32,002",""
"2015100000","2015年度","19205","山梨県 山梨市","","35,141",""
"2015100000","2015年度","19206","山梨県 大月市","","25,419",""
"2015100000","2015年度","19207","山梨県 韮崎市","","30,680",""
"2015100000","2015年度","19208","山梨県 南アルプス市","","70,828",""
"2015100000","2015年度","19209","山梨県 北杜市","","45,111",""
"2015100000","2015年度","19210","山梨県 甲斐市","","74,386",""
"2015100000","2015年度","19211","山梨県 笛吹市","","69,559",""
"2015100000","2015年度","19212","山梨県 上野原市","","24,805",""
"2015100000","2015年度","19213","山梨県 甲州市","","31,671",""
"2015100000","2015年度","19214","山梨県 中央市","","31,124",""
"2015100000","2015年度","20201","長野県 長野市","","377,598",""
"2015100000","2015年度","20202","長野県 松本市","","243,293",""
"2015100000","2015年度","20203","長野県 上田市","","156,827",""
"2015100000","2015年度","20204","長野県 岡谷市","","50,128",""
"2015100000","2015年度","20205","長野県 飯田市","","101,581",""
"2015100000","2015年度","20206","長野県 諏訪市","","50,140",""
"2015100000","2015年度","20207","長野県 須坂市","","50,725",""
"2015100000","2015年度","20208","長野県 小諸市","","42,512",""
"2015100000","2015年度","20209","長野県 伊那市","","68,271",""
"2015100000","2015年度","20210","長野県 駒ヶ根市","","32,759",""
"2015100000","2015年度","20211","長野県 中野市","","43,909",""
"2015100000","2015年度","20212","長野県 大町市","","28,041",""
"2015100000","2015年度","20213","長野県 飯山市","","21,438",""
"2015100000","2015年度","20214","長野県 茅野市","","55,912",""
"2015100000","2015年度","20215","長野県 塩尻市","","67,135",""
"2015100000","2015年度","20217","長野県 佐久市","","99,368",""
"2015100000","2015年度","20218","長野県 千曲市","","60,298",""
"2015100000","2015年度","20219","長野県 東御市","","30,107",""
"2015100000","2015年度","20220","長野県 安曇野市","","95,282",""
"2015100000","2015年度","21201","岐阜県 岐阜市","","406,735",""
"2015100000","2015年度","21202","岐阜県 大垣市","","159,879",""
"2015100000","2015年度","21203","岐阜県 高山市","","89,182",""
"2015100000","2015年度","21204","岐阜県 多治見市","","110,441",""
"2015100000","2015年度","21205","岐阜県 関市","","89,153",""
"2015100000","2015年度","21206","岐阜県 中津川市","","78,883",""
"2015100000","2015年度","21207","岐阜県 美濃市","","20,760",""
"2015100000","2015年度","21208","岐阜県 瑞浪市","","38,730",""
"2015100000","2015年度","21209","岐阜県 羽島市","","67,337",""
"2015100000","2015年度","21210","岐阜県 恵那市","","51,073",""
"2015100000","2015年度","21211","岐阜県 美濃加茂市","","55,384",""
"2015100000","2015年度","21212","岐阜県 土岐市","","57,827",""
"2015100000","2015年度","21213","岐阜県 各務原市","","144,690",""
"2015100000","2015年度","21214","岐阜県 可児市","","98,695",""
"2015100000","2015年度","21215","岐阜県 山県市","","27,114",""
"2015100000","2015年度","21216","岐阜県 瑞穂市","","54,354",""
"2015100000","2015年度","21217","岐阜県 飛騨市","","24,696",""
"2015100000","2015年度","21218","岐阜県 本巣市","","33,995",""
"2015100000","2015年度","21219","岐阜県 郡上市","","42,090",""
"2015100000","2015年度","21220","岐阜県 下呂市","","33,585",""
"2015100000","2015年度","21221","岐阜県 海津市","","35,206",""
"2015100000","2015年度","22100","静岡県 静岡市","","704,989",""
"2015100000","2015年度","22130","静岡県 浜松市","","797,980",""
"2015100000","2015年度","22203","静岡県 沼津市","","195,633",""
"2015100000","2015年度","22205","静岡県 熱海市","","37,544",""
"2015100000","2015年度","22206","静岡県 三島市","","110,046",""
"2015100000","2015年度","22207","静岡県 富士宮市","","130,770",""
"2015100000","2015年度","22208","静岡県 伊東市","","68,345",""
"2015100000","2015年度","22209","静岡県 島田市","","98,112",""
"2015100000","2015年度","22210","静岡県 富士市","","248,399",""
"2015100000","2015年度","22211","静岡県 磐田市","","167,210",""
"2015100000","2015年度","22212","静岡県 焼津市","","139,462",""
"2015100000","2015年度","22213","静岡県 掛川市","","114,602",""
"2015100000","2015年度","22214","静岡県 藤枝市","","143,605",""
"2015100000","2015年度","22215","静岡県 御殿場市","","88,078",""
"2015100000","2015年度","22216","静岡県 袋井市","","85,789",""
"2015100000","2015年度","22219","静岡県 下田市","","22,916",""
"2015100000","2015年度","22220","静岡県 裾野市","","52,737",""
"2015100000","2015年度","22221","静岡県 湖西市","","59,789",""
"2015100000","2015年度","22222","静岡県 伊豆市","","31,317",""
"2015100000","2015年度","22223","静岡県 御前崎市","","32,578",""
"2015100000","2015年度","22224","静岡県 菊川市","","46,763",""
"2015100000","2015年度","22225","静岡県 伊豆の国市","","48,152",""
"2015100000","2015年度","22226","静岡県 牧之原市","","45,547",""
"2015100000","2015年度","23100","愛知県 名古屋市","","2,295,638",""
"2015100000","2015年度","23201","愛知県 豊橋市","","374,765",""
"2015100000","2015年度","23202","愛知県 岡崎市","","381,051",""
"2015100000","2015年度","23203","愛知県 一宮市","","380,868",""
"2015100000","2015年度","23204","愛知県 瀬戸市","","129,046",""
"2015100000","2015年度","23205","愛知県 半田市","","116,908",""
"2015100000","2015年度","23206","愛知県 春日井市","","306,508",""
"2015100000","2015年度","23207","愛知県 豊川市","","182,436",""
"2015100000","2015年度","23208","愛知県 津島市","","63,431",""
"2015100000","2015年度","23209","愛知県 碧南市","","71,346",""
"2015100000","2015年度","23210","愛知県 刈谷市","","149,765",""
"2015100000","2015年度","23211","愛知県 豊田市","","422,542",""
"2015100000","2015年度","23212","愛知県 安城市","","184,140",""
